toneladas,ag_cabeza,ag_concentrado_pb,ag_colas_pb,ag_colas_zn,au_recuperacion,zn_recuperacion,pb_contenido,zn_contenido,ag_concentrado_pb_ley,ag_concentrado_zn_ley,zn_concentrado_zn_ley,ag_concentrado_fe_ley,toneladas_lag1,toneladas_lag2,toneladas_lag3,ag_cabeza_lag2,ag_cabeza_lag3,ag_concentrado_pb_lag1,ag_concentrado_pb_lag2,ag_concentrado_pb_lag3,ag_colas_pb_lag1,ag_colas_pb_lag2,ag_colas_zn_lag1,ag_colas_zn_lag3,ag_concentrado_fe_lag3,ag_colas_fe_lag3,pb_recuperacion_lag1,pb_recuperacion_lag2,pb_recuperacion_lag3,zn_recuperacion_lag1,zn_recuperacion_lag2,zn_recuperacion_lag3,fe_recuperacion_lag2,ag_contenido_lag1,zn_contenido_lag2,zn_contenido_lag3,ag_concentrado_pb_ley_lag1,ag_concentrado_pb_ley_lag2,ag_concentrado_pb_ley_lag3,ag_concentrado_zn_ley_lag1,ag_concentrado_zn_ley_lag2,ag_concentrado_zn_ley_lag3,zn_concentrado_zn_ley_lag2,zn_concentrado_zn_ley_lag3,ag_concentrado_fe_ley_lag2,ag_concentrado_fe_ley_lag3,pb_recuperacion
2068.4,308.4100019729258,10725.032307246272,54.28013002619056,639.6255212211298,67.36078643141789,79.27261020687197,19.144081128503053,29.539510200956755,10725.032307246272,750.7726392197169,50.07786973271882,639.6255212211298,1955.0,1736.9,2042.2,350.5999992024011,395.8100023744469,11565.33213463369,13517.780308558444,14143.800960580047,71.96001991565906,72.48992148022613,639.4760675391684,640.0149862557452,47.46121378731744,47.46,89.74975778966623,87.79927203168226,84.49247383450056,77.98203838243857,83.97192502809712,19.752700088792743,-8.9750595550302,668.1422566369674,28.32618261628925,2.6470979996687034,11565.33213463369,13517.780308558444,14143.800960580047,943.3544078615934,919.3984816893231,1189.9573381048865,43.46512286584961,52.56116110093209,639.0496659543421,640.0149862557452,89.6153722205509
1857.1,286.7399964092257,9050.180472521948,67.56994304086233,639.5667454180916,70.73698336494728,81.39276526614077,17.23958031138357,32.335838028884986,9050.180472521948,852.1503372515969,43.37381186449779,639.5667454180916,2068.4,1955.0,1736.9,386.7400002008553,350.5999992024011,10725.032307246272,11565.33213463369,13517.780308558444,54.28013002619056,71.96001991565906,639.6255212211298,639.0496659543421,47.46086633198693,47.46,89.6153722205509,89.74975778966623,87.79927203168226,79.27261020687197,77.98203838243857,83.97192502809712,-2.977630471506699,542.6667201886391,28.99626678630242,28.32618261628925,10725.032307246272,11565.33213463369,13517.780308558444,750.7726392197169,943.3544078615934,919.3984816893231,49.413740910943446,43.46512286584961,639.4760675391684,639.0496659543421,89.93104509371226
1864.9,240.909999480896,8540.127675211052,68.33014130888627,639.9010514909916,65.39205295888759,84.13065986017682,18.173776850491183,34.22787753350487,8540.127675211052,751.2365755597042,49.56571269905204,639.9010514909916,1857.1,2068.4,1955.0,308.4100019729258,386.7400002008553,9050.180472521948,10725.032307246272,11565.33213463369,67.56994304086233,54.28013002619056,639.5667454180916,639.4760675391684,47.45821532506295,47.46,89.93104509371226,89.6153722205509,89.74975778966623,81.39276526614077,79.27261020687197,77.98203838243857,-13.524189964662623,448.1687352034897,29.539510200956755,28.99626678630242,9050.180472521948,10725.032307246272,11565.33213463369,852.1503372515969,750.7726392197169,943.3544078615934,50.07786973271882,49.413740910943446,639.6255212211298,639.4760675391684,86.59209143377673
2079.7,344.14999807336625,8589.67360510861,88.709978517967,639.8503677223455,74.07144762581451,83.81721408570608,24.31131397481317,46.02928802182039,8589.67360510861,891.8204269444423,40.470202417487855,639.8503677223455,1864.9,1857.1,2068.4,286.7399964092257,308.4100019729258,8540.127675211052,9050.180472521948,10725.032307246272,68.33014130888627,67.56994304086233,639.9010514909916,639.6255212211298,47.45924734708962,47.46,86.59209143377673,89.93104509371226,89.6153722205509,84.13065986017682,81.39276526614077,79.27261020687197,-13.191936474259514,365.0125614014849,32.335838028884986,29.539510200956755,8540.127675211052,9050.180472521948,10725.032307246272,751.2365755597042,852.1503372515969,750.7726392197169,43.37381186449779,50.07786973271882,639.5667454180916,639.6255212211298,84.02160878432409
1988.9,255.58000015255809,9609.113955539548,65.50983564524908,640.0252345922027,66.0909704457813,84.02375499787708,15.496098317214315,36.99162078270453,9609.113955539548,693.9680304547325,47.54475103200485,640.0252345922027,2079.7,1864.9,1857.1,240.909999480896,286.7399964092257,8589.67360510861,8540.127675211052,9050.180472521948,88.709978517967,68.33014130888627,639.8503677223455,639.5667454180916,47.45935332210895,47.46,84.02160878432409,86.59209143377673,89.93104509371226,83.81721408570608,84.13065986017682,81.39276526614077,-5.457701109462112,624.3679284788856,34.22787753350487,32.335838028884986,8589.67360510861,8540.127675211052,9050.180472521948,891.8204269444423,751.2365755597042,852.1503372515969,49.56571269905204,43.37381186449779,639.9010514909916,639.5667454180916,85.75016612382183
2122.2,388.70000282143167,10209.1875380635,81.18990553625127,639.6382687959167,73.37657797038455,84.90743985776916,24.74098403233196,47.8951505674419,10209.1875380635,785.5518357489666,37.2096274768088,639.6382687959167,1988.9,2079.7,1864.9,344.14999807336625,240.909999480896,9609.113955539548,8589.67360510861,8540.127675211052,65.50983564524908,88.709978517967,640.0252345922027,639.9010514909916,47.456787386867816,47.46,85.75016612382183,84.02160878432409,86.59209143377673,84.02375499787708,83.81721408570608,84.13065986017682,-5.927353751491837,418.2975189617499,46.02928802182039,34.22787753350487,9609.113955539548,8589.67360510861,8540.127675211052,693.9680304547325,891.8204269444423,751.2365755597042,40.470202417487855,49.56571269905204,639.8503677223455,639.9010514909916,89.71567717791498
2038.1,313.27000179998265,11439.22612123793,72.2299725555019,639.661343632049,64.6735440613051,84.035567247953,17.960635543774753,39.37529780504224,11439.22612123793,876.3719381444739,47.20823030389363,639.661343632049,2122.2,1988.9,2079.7,255.58000015255809,344.14999807336625,10209.1875380635,9609.113955539548,8589.67360510861,81.18990553625127,65.50983564524908,639.6382687959167,639.8503677223455,47.45739229058371,47.46,89.71567717791498,85.75016612382183,84.02160878432409,84.90743985776916,84.02375499787708,83.81721408570608,-7.657547191112091,731.2968537557055,36.99162078270453,46.02928802182039,10209.1875380635,9609.113955539548,8589.67360510861,785.5518357489666,693.9680304547325,891.8204269444423,47.54475103200485,40.470202417487855,640.0252345922027,639.8503677223455,89.54944667399339
1832.3,751.7399949921432,12426.276047343652,95.52999427889982,639.236512836045,77.6407323045862,78.4556829068671,37.55487187928533,44.09696463505287,12426.276047343652,818.3782490145534,41.10601223859061,639.236512836045,2038.1,2122.2,1988.9,388.70000282143167,255.58000015255809,11439.22612123793,10209.1875380635,9609.113955539548,72.2299725555019,81.18990553625127,639.661343632049,640.0252345922027,47.45713893278709,47.46,89.54944667399339,89.71567717791498,85.75016612382183,84.035567247953,84.90743985776916,84.02375499787708,-12.029748437891186,546.1786712321705,47.8951505674419,36.99162078270453,11439.22612123793,10209.1875380635,9609.113955539548,876.3719381444739,785.5518357489666,693.9680304547325,37.2096274768088,47.54475103200485,639.6382687959167,640.0252345922027,94.56316276123046
1747.8,485.909997570525,11188.916989264082,154.0197705989876,639.6930487765447,73.44611917874346,81.56686031155576,25.244723031663103,45.00569467700914,11188.916989264082,1199.2440697286347,44.38280383946736,639.6930487765447,1832.3,2038.1,2122.2,313.27000179998265,388.70000282143167,12426.276047343652,11439.22612123793,10209.1875380635,95.52999427889982,72.2299725555019,639.236512836045,639.6382687959167,47.45916867605949,47.46,94.56316276123046,89.54944667399339,89.71567717791498,78.4556829068671,84.035567247953,84.90743985776916,-9.709331254801974,1300.2335402682502,39.37529780504224,47.8951505674419,12426.276047343652,11439.22612123793,10209.1875380635,818.3782490145534,876.3719381444739,785.5518357489666,47.20823030389363,37.2096274768088,639.661343632049,639.6382687959167,90.21394551730567
1857.0,513.2199969091308,11188.920396297624,143.6699984555982,639.8051923835861,74.82436165640546,70.1421673906446,20.636197252427504,27.600791314979183,11188.920396297624,1765.7308846649903,48.03057809294774,639.8051923835861,1747.8,1832.3,2038.1,751.7399949921432,313.27000179998265,11188.916989264082,12426.276047343652,11439.22612123793,154.0197705989876,95.52999427889982,639.6930487765447,639.661343632049,47.45886563344758,47.46,90.21394551730567,94.56316276123046,89.54944667399339,81.56686031155576,78.4556829068671,84.035567247953,0.35253195921981,778.7465709287023,44.09696463505287,39.37529780504224,11188.916989264082,12426.276047343652,11439.22612123793,1199.2440697286347,818.3782490145534,876.3719381444739,41.10601223859061,47.20823030389363,639.236512836045,639.661343632049,86.87646239202664
