columna,r2_train,mae_train,mse_train,r2_cv,mae_cv,mse_cv,muestras_entrenamiento
au_concentrado_fe,0.2519711897062369,0.9504907680859221,1.8276544428954955,-17.897409387086448,1.6436059168645782,55.49145849623472,652
ag_concentrado_fe,0.2650194224503234,327.7976613368547,234856.53395848887,-3.979817906725622,533.7213713949146,1625500.4415517983,652
pb_concentrado_fe,0.17684839256896834,0.5228443771131469,0.8544651654333197,-0.09896650503465516,0.679069434675826,1.215506717051202,652
zn_concentrado_fe,0.19655857794692622,3.024711427052349,26.89746360180834,-0.01865048851230085,3.675029630925323,35.56753000235887,652
fe_concentrado_fe,0.3577942316541324,11.130217835955738,192.56001721338149,-57.753197085179494,22.971568717707726,13428.672103405232,652
cu_concentrado_fe,0.24729242712822896,0.04665064597428153,0.005674660748723247,-0.06920483264677568,0.056528270986937156,0.007833415122720589,652
au_colas_fe,0.32017780691790043,0.12737425593669835,0.025919657823820122,-32.82555418882129,0.21512201693286107,1.047943562558844,652
ag_colas_fe,0.40818962174538664,17.99729399349676,602.7692069108657,-5.182706325507023,26.0991022681408,4343.463425783418,652
pb_colas_fe,0.49006128834753415,0.05294819898169114,0.005498634062144784,-0.14895190075335654,0.06825267675155869,0.007907836495299811,652
zn_colas_fe,0.4490853286479989,0.06735254458634506,0.011172667699984649,-5.01176671630148,0.09083862630659845,0.03398052751435068,652
fe_colas_fe,0.5006166948427309,1.6181111248880067,4.544558350740559,-16.92203832189259,2.478934555950256,88.36803113349043,652
cu_colas_fe,0.2274890976067755,0.0043772334137900685,4.502627834838981e-05,-2.8672666625140746,0.0065201168888859165,0.00033836343536177083,652
