date_index,horas_operacion,toneladas,au_cabeza,ag_cabeza,pb_cabeza,zn_cabeza,fe_cabeza,cu_cabeza,au_concentrado_pb,ag_concentrado_pb,pb_concentrado_pb,zn_concentrado_pb,fe_concentrado_pb,cu_concentrado_pb,au_colas_pb,ag_colas_pb,pb_colas_pb,zn_colas_pb,fe_colas_pb,cu_colas_pb,au_concentrado_zn,ag_concentrado_zn,pb_concentrado_zn,zn_concentrado_zn,fe_concentrado_zn,cu_concentrado_zn,au_colas_zn,ag_colas_zn,pb_colas_zn,zn_colas_zn,fe_colas_zn,cu_colas_zn,au_concentrado_fe,ag_concentrado_fe,pb_concentrado_fe,zn_concentrado_fe,fe_concentrado_fe,cu_concentrado_fe,au_colas_fe,ag_colas_fe,pb_colas_fe,zn_colas_fe,fe_colas_fe,cu_colas_fe,au_recuperacion,ag_recuperacion,pb_recuperacion,zn_recuperacion,fe_recuperacion,au_contenido,ag_contenido,pb_contenido,zn_contenido,ag_concentrado_pb_ley,pb_concentrado_pb_ley,zn_concentrado_pb_ley,ag_concentrado_zn_ley,zn_concentrado_zn_ley,au_concentrado_fe_ley,ag_concentrado_fe_ley,fe_concentrado_fe_ley
2024-01-05_2,11.0,1988.9,1.59,255.58000000000004,0.84,1.84,5.43,0.041,39.17,9609.13,40.26,10.42,8.81,0.96,0.74,65.51,0.14,2.02,6.16,0.02,1.56,693.75,0.51,50.54,8.94,0.51,0.65,39.38,0.1,0.34,5.98,0.01,2.5485714285714285,438.7028571428571,0.4057142857142857,1.23,34.86571428571428,0.0457142857142857,0.3614285714285714,30.49142857142857,0.1028571428571428,0.1071428571428571,4.104285714285714,0.0114285714285714,68.51142911439042,89.02254999470708,86.49263007162429,84.39468133779016,13.105982129133858,1.8299881949099104,452.5221524220335,15.533211706639465,37.05638409896833,9609.105144155988,39.214503221618905,10.224423013370258,693.7667555586844,47.62723324392679,2.652834461290881,437.7841205577185,35.27738335037426
2024-01-06_1,12.0,2122.2,1.6,388.7,0.95,1.98,6.127,0.036,40.55,10209.26,45.78,9.56,8.36,0.73,0.4,81.19,0.12,1.91,5.92,0.02,1.8,784.82,0.74,50.1,9.98,0.39,0.25,34.19,0.1,0.21,5.56,0.01,2.4585714285714286,671.4828571428571,0.6657142857142857,2.2985714285714285,37.005428571428574,0.0649999999999999,0.2214285714285714,30.365714285714283,0.07,0.0842857142857142,3.558142857142857,0.0077142857142857,87.41683155687292,92.94431912049605,90.89231473242346,85.67477467105053,3.94868395247548,3.134621606475008,766.6968856539644,24.875100580015083,48.15801097405155,10209.304918784708,38.60537913443767,9.157074045531331,785.345891031839,37.412635043582696,2.468491588586568,669.2249083262863,37.27551751309912
2024-01-06_2,12.0,2038.1,1.75,313.27,0.89,2.15,6.047,0.031,40.55,11439.37,43.1,11.15,8.25,0.87,0.5,72.23,0.09,1.97,5.87,0.01,2.0,876.24,0.63,49.04,10.3,0.37,0.25,37.14000000000001,0.08,0.18,5.67,0.01,2.444285714285714,636.6928571428572,0.5900000000000001,2.211428571428572,37.246857142857145,0.0614285714285714,0.2314285714285714,31.515714285714285,0.09,0.1028571428571428,3.899428571428572,0.0081428571428571,82.67971341007137,90.6551801088401,89.77298566131724,84.19627958501596,6.164731782813986,2.2674103735474334,578.8111959805824,17.973114356247688,39.40503383270284,11439.256014438364,41.5868096557969,11.081194022201425,876.1763509776752,47.24270034146616,2.463819663236777,634.9520274746701,37.557134774574926
2024-01-07_1,11.6,1832.3,1.61,751.74,1.47,2.49,7.124,0.037,40.55,12426.25,49.57,10.14,6.66,0.64,0.68,95.53,0.11,2.01,6.16,0.01,1.92,817.71,0.55,51.49,10.3,0.31,0.74,47.88,0.09,0.17,6.01,0.01,3.1957142857142857,626.4457142857143,0.6842857142857143,2.184285714285714,36.86571428571428,0.0585714285714285,0.4828571428571429,47.04571428571428,0.1314285714285714,0.1414285714285714,5.112857142857143,0.0147142857142857,83.03098690265838,94.45063195027468,94.63071071099394,78.72253241445314,0.7887790940213264,1.977318590304043,1300.9754543570866,37.5674779029031,44.18141068242144,12426.308601469964,38.52681595831604,9.710560137492708,818.2580703546043,41.18347331747913,3.203077202764387,626.1804599150139,36.88804310723808
2024-01-07_2,11.4,1747.8,1.6,530.6662005027559,1.73,2.7,7.141,0.041,40.55,12528.663418498025,47.19,10.64,7.03,0.67,0.92,154.02,0.13,2.35,5.95,0.02,3.1,1198.9,0.96,50.9,10.53,0.29,0.74,87.52,0.1,0.24,6.21,0.01,3.341428571428572,964.4685714285714,0.9714285714285714,3.185714285714286,34.46642857142857,0.0752857142857142,0.4842857142857143,62.06142857142857,0.1357142857142857,0.1471428571428571,5.738571428571428,0.0144285714285714,74.2370631412866,94.32747684757136,86.31369195881462,86.22378511081136,13.602921746975454,2.5824458028517654,1615.6000968221672,17.09127270275414,46.12792608536529,12528.662734225849,49.71365834977315,10.547022898290663,1199.2559459328636,45.007147345378215,3.456395713486322,964.5807141133112,34.34023888700154
2024-01-08_1,11.4,1857.0,1.29,513.22,0.89,1.69,5.729,0.031,39.17,12528.663418498025,43.3,9.89,8.11,0.88,0.81,143.67,0.15,1.85,5.93,0.02,1.96,1765.72,1.36,49.99,11.54,0.45,0.6,90.02,0.12,0.3,5.88,0.01,3.3342857142857145,1080.2371428571428,0.8071428571428572,2.8385714285714285,35.46771428571429,0.0711428571428571,0.3985714285714286,50.28142857142857,0.1157142857142857,0.1357142857142857,5.054428571428572,0.0124285714285714,67.11886560429987,90.97213607949412,89.77298566131724,80.83654655188883,21.373481861148733,1.560337689904174,867.0095243243669,8.308672772059142,26.733517301674556,12528.662734225849,45.4126948036163,9.86423586078906,1765.6644099673763,45.41050388668703,3.461625401572165,1080.3281888979982,35.15059291417121
2024-01-08_2,11.7,1999.9,1.6,569.32,0.96,1.69,5.547,0.032,39.17,12528.663418498025,41.07,10.88,8.55,0.97,0.59,87.17,0.17,1.69,5.6,0.01,2.34,1124.42,0.98,52.7,9.99,0.5,0.54,69.6,0.13,0.4,5.67,0.01,3.224285714285714,922.8142857142856,0.7028571428571428,2.507142857142857,34.74071428571428,0.0724285714285714,0.4071428571428571,52.05142857142857,0.1385714285714285,0.1514285714285714,5.348571428571429,0.014,72.11659061695161,91.36974483953573,84.32333835651345,67.01482262549831,11.628269880177802,2.256570702988651,1040.3204480759646,16.56646250980529,18.252225430689204,12528.662734225849,40.77556776927089,11.10704008598783,1123.816365216455,55.89515639239978,3.291298931164971,922.9459885168158,34.619256341962135
2024-01-09_1,12.0,2095.5,1.63,669.49,1.06,1.92,5.937,0.045,37.57,12528.663418498025,37.01,12.65,9.36,0.9,0.49,77.68,0.09,1.52,5.31,0.02,2.22,876.51,0.93,53.52,9.36,0.44,0.4,50.79,0.07,0.28,5.19,0.01,2.7114285714285717,642.2242857142858,0.4528571428571429,1.8014285714285716,35.49842857142857,0.0487142857142857,0.3142857142857143,34.75285714285714,0.1185714285714285,0.1428571428571428,4.691428571428572,0.0114285714285714,78.7495005714135,95.23677170409628,90.34212846375544,75.43319689241129,15.68714123282447,2.38205831345078,1336.0921899587672,20.04044933394181,33.123199932870946,12528.662734225849,37.02794191937657,12.49395693713778,876.9967259335905,49.854584393361264,2.7498856725254237,642.4342056596039,35.41313262012005
2024-01-09_2,11.457368421052632,1939.531818086519,1.63,578.92,1.14,2.03,6.109,0.037,37.57,12528.663418498025,39.91,10.96,9.47,0.8,0.68,87.49,0.1,1.57,5.75,0.02,1.96,842.0,0.89,49.99,10.0,0.58,0.4,42.89,0.09,0.21,5.49,0.01,2.82,681.4728571428572,0.4742857142857143,1.837142857142857,35.212714285714284,0.0487142857142857,0.3285714285714285,40.82857142857142,0.1228571428571428,0.1357142857142857,4.670142857142857,0.0112857142857142,77.21195006963802,93.51521722394068,88.25922783389511,83.8213766083234,1.865968139156202,1.977318590304043,898.9023669323284,15.496957647268877,33.62488546263301,12528.662734225849,40.765435186561234,10.747221913905372,842.661856243186,37.17057073795392,2.832203608225214,680.9371608496858,35.25736709757794
2024-01-10_1,11.457368421052632,1939.531818086519,1.4516947551811024,530.6662005027559,1.5259409627874017,2.7848621766732284,7.428112756279527,0.0468842703425196,25.710978217821783,12528.663418498025,43.14,10.245832015810278,7.772343873517786,0.6932693069306931,0.6235513833992095,144.26978260869566,0.2172450592885375,2.596879446640316,7.291853754940711,0.0288707753479125,1.764984220907298,1145.780849516765,1.2546015779092703,49.684905325443786,10.62000986193294,0.4171321499013806,0.4980848126232741,86.15146400508876,0.1596449704142012,0.2719901380670611,6.847465483234714,0.0198238993710691,2.721922222222222,843.5350111111111,0.8867333333333334,3.6918592592592594,35.16295185185185,0.0711428571428571,0.3857011070110701,52.40366420664206,0.1497675276752767,0.1435313653136531,5.322642066420665,0.0124285714285714,74.21173826994959,91.34345696479286,89.94397456257957,81.23654067520417,19.504963598211383,1.9761758047432316,940.147032618919,37.69045736110417,48.45628330703049,12528.662734225849,62.28393523488572,10.141241734385453,1145.93387712587,47.02442741825454,2.7604396039372894,843.4463892697207,35.40400281546246
