date_index,horas_operacion,toneladas,au_cabeza,ag_cabeza,pb_cabeza,zn_cabeza,fe_cabeza,cu_cabeza,au_concentrado_pb,ag_concentrado_pb,pb_concentrado_pb,zn_concentrado_pb,fe_concentrado_pb,cu_concentrado_pb,au_colas_pb,ag_colas_pb,pb_colas_pb,zn_colas_pb,fe_colas_pb,cu_colas_pb,au_concentrado_zn,ag_concentrado_zn,pb_concentrado_zn,zn_concentrado_zn,fe_concentrado_zn,cu_concentrado_zn,au_colas_zn,ag_colas_zn,pb_colas_zn,zn_colas_zn,fe_colas_zn,cu_colas_zn,au_concentrado_fe,ag_concentrado_fe,pb_concentrado_fe,zn_concentrado_fe,fe_concentrado_fe,cu_concentrado_fe,au_colas_fe,ag_colas_fe,pb_colas_fe,zn_colas_fe,fe_colas_fe,cu_colas_fe,au_recuperacion,ag_recuperacion,pb_recuperacion,zn_recuperacion,fe_recuperacion,au_contenido,ag_contenido,pb_contenido,zn_contenido,ag_concentrado_pb_ley,pb_concentrado_pb_ley,zn_concentrado_pb_ley,ag_concentrado_zn_ley,zn_concentrado_zn_ley,au_concentrado_fe_ley,ag_concentrado_fe_ley,fe_concentrado_fe_ley
2025-01-01_1,12.0,2002.31,1.0778069356301145,445.5908801213156,1.8824750905428607,3.557404246798278,9.479934581520967,0.06318758371751389,20.63771791843805,10454.472273806135,45.553634973176656,12.823839104547776,8.388646644026242,0.9811236901046899,0.4005672042983283,99.04471475539627,0.3704107150015868,3.236564450595643,9.517719188528847,0.031405087231931535,0.35150863505733737,65.96402986030431,0.28305946611076954,0.4322346057532485,9.412863714471607,0.009743660024324124,2.1003384763803528,609.3891488716432,1.1301750708306004,5.469949077345897,35.21696107851493,0.09001254275731327,0.35567525397133387,67.25875009306321,0.2850777344508712,0.4442370521346371,9.47434244590399,0.009934902097794017,0.36,67.26,0.29,0.48,9.3,0.01,69.82640062859222,86.19847926937385,80.9816948719613,76.85318210900085,-0.8092770153911524,1.5069260694039768,769.0723786743931,30.524419708684196,54.742722183115966,10454.472273806135,45.553634973176656,12.823839104547776,654.1564814552319,50.29473448293682,2.1003384763803528,609.3891488716432,35.21696107851493
2025-01-01_2,10.68,1827.59,1.1548137215333711,589.3360139365042,1.9255914988485445,3.0493069945442985,10.142905081110012,0.05769283613958949,20.295970415040014,13004.481769667598,42.42692174618789,15.875025786469111,10.52876450061508,0.9358487159827941,0.4267043481238447,117.07698896024169,0.3849636955848895,2.5614302051398674,10.128227396544832,0.02428871445213515,0.3954898013900479,92.276708165255,0.31955268450008023,0.4736205725029454,10.016864851964952,0.011160482342455518,1.8839647738699175,566.3807814755376,0.8795219026524103,3.296313855307922,36.52724165751413,0.06229250234620213,0.2942829705627585,60.04064667333662,0.28147833929586563,0.28169538274028505,8.214327845879549,0.007683830202476892,0.36,60.04,0.32,0.31,9.11,0.01,77.95207817585566,91.18551700079202,80.74063481853713,66.57020527103766,21.185429355571507,1.6451988847202799,982.1269291494021,28.414177734648025,37.09879632749689,13004.481769667598,42.42692174618789,15.875025786469111,699.7192385423083,51.61112085640804,1.8839647738699175,566.3807814755376,36.52724165751413
2025-01-05_1,11.54,1938.53,0.5742735142971369,268.26981023848015,0.4878557467131711,2.88946792736628,8.094833585960565,0.03308085182838246,15.452305887415163,6986.301258070422,38.34145057087852,8.748594144500439,9.711185030571976,1.1559404438799956,0.4775350530350829,224.5884948148365,0.24172787007651303,2.8513713000454644,8.084323906475465,0.025779905948961308,0.30681500841012704,54.109082116385544,0.1535353713548412,0.4498151746026939,7.357415426368095,0.012601689629409944,2.432593809036745,350.45107119348194,0.5006435026182887,2.815109377102909,35.776106903694135,0.05109713040731132,0.23286738356857067,43.80049016570179,0.14146082161215068,0.36753573505101694,6.36883903486688,0.01126258209295531,0.3,43.79,0.14,0.33,6.89,0.01,70.55125623272558,88.14274758368653,50.77104525632252,86.34517787142634,11.165243753274074,0.7854093453315287,458.38554370150035,4.8015345267260425,48.36469942713636,6986.301258070422,38.34145057087852,8.748594144500439,753.8957488447213,10.307761828591133,2.432593809036745,350.45107119348194,35.776106903694135
2025-01-05_2,11.06,1849.78,0.923611700643491,353.180002438639,1.3740992186863017,1.67911377664544,8.378127836208488,0.047965066869020516,16.951755924876704,10269.807636376952,42.46846342479604,10.478185670477256,9.718568329832724,1.0296386932751775,0.46594538763778304,70.02143191534515,0.20069412022901367,1.4278658008858,8.339853008509282,0.019934438813342274,0.45359157549789625,61.27735131707584,0.17990743491270744,0.4316624926946731,8.260984616911955,0.012106016446205445,1.6338848111275168,244.01925090830161,0.44715764132081626,1.9668686683031122,30.582248214080117,0.03596982047793244,0.2695041960297946,32.77555498438196,0.13822508964896119,0.19222023099243954,4.7795930457508575,0.008384038707345061,0.3,32.76,0.14,0.17,5.63,0.01,75.93192247531456,92.34545737949507,85.79996242365982,58.16434774959025,46.959322220882,1.2972805333887565,603.2977719045176,21.808473597438773,18.06579453868009,10269.807636376952,42.46846342479604,10.478185670477256,514.4342884246325,52.059324749794314,1.6338848111275168,244.01925090830161,30.582248214080117
2025-01-06_1,11.59,1879.74,1.065380111059939,363.9399986499426,1.2513887491313025,2.6355502518103986,7.325362927509299,0.05047795588084994,20.70034605179382,9559.5673754374,34.66392350687798,11.06993114739922,10.627149339755638,0.8699713457991618,0.43223217151628746,67.4183472247321,0.1739701480167211,2.3635757089725207,7.218893719972244,0.024052620952205374,0.3928142544347131,45.22256214263075,0.13134350710293072,0.29151343406186736,6.988353652745125,0.010014043164336623,1.8105893229388754,342.78181683220913,0.413572756110948,1.9270278471320654,35.89357005175339,0.03935261660672819,0.3398068019806993,34.097484268429646,0.12079158400154026,0.23036519241579254,5.9076519829379635,0.00891713923975502,0.33,34.09,0.14,0.24,6.19,0.01,71.66286443982858,91.67621194779584,86.53211797576999,76.68475682312473,16.275920965289657,1.4351474756493878,627.1684924420615,20.354824529904942,37.990772899394614,9559.5673754374,34.66392350687798,11.06993114739922,501.71250235433666,42.90661267430673,1.8105893229388754,342.78181683220913,35.89357005175339
2025-01-06_2,12.0,2004.95,1.1063039398762804,355.13000378694363,1.3195309191748952,2.381641273181066,8.301599938393203,0.05510912872880739,20.648619409486095,9089.25001668568,35.33756051190657,11.277427471367643,9.842331663704453,1.0004192441490074,0.45057624383725564,62.063176476086795,0.17808152422893003,2.083149858626642,8.249901844274126,0.023389958859155877,0.42339334334268164,46.470546686716304,0.15239788537493412,0.3481299614500125,8.104463009807338,0.011080630101414517,2.1199202883302455,285.81425019767295,0.41974337763560055,2.2630432054376217,33.73292095966448,0.04613255547412576,0.28149776642672536,26.452112560910106,0.13003741360507037,0.1879688037964752,5.960928044444341,0.008148927078676869,0.3,26.46,0.12,0.18,5.48,0.01,78.08059265130917,93.58345403754561,86.94232013105925,70.98224061758098,29.277133836516683,1.7318931984906274,666.3309452081209,23.001403843947802,33.89452862932933,9089.25001668568,35.33756051190657,11.277427471367643,489.69096030720505,49.66606073093632,2.1199202883302455,285.81425019767295,33.73292095966448
2025-01-07_1,12.0,1992.2,1.176155376278871,383.2900012726245,1.2927603385553421,2.3268873534066614,8.195180642509424,0.05292704283888508,22.15397701432229,10264.203628399513,35.5032024818207,12.664710520458332,10.250796785618693,1.0098207984177017,0.5059713623846248,67.62184135457296,0.19983029899910607,1.9966221836209097,8.12950933013081,0.022356905050071083,0.4782300580053561,55.178550189581514,0.17593203950422456,0.4282045644784904,8.048152513861393,0.011107702785204152,2.463318596737823,378.3276477615678,0.5795319941231265,3.1258067266786367,34.54305943012764,0.055732922019389154,0.3483116498612532,34.02935934464159,0.14951756850808393,0.25165416288133213,6.31413608924115,0.008187108900918835,0.4,34.03,0.15,0.25,6.58,0.01,73.88022280102682,92.16944672600525,85.02089674582083,65.85700213175905,24.330959922508814,1.7311146445048182,703.7969921246262,21.896597570537327,30.528836454926076,10264.203628399513,35.5032024818207,12.664710520458332,466.3994662243755,52.26064354842147,2.463318596737823,378.3276477615678,34.54305943012764
2025-01-07_2,12.0,1978.36,1.0458947845639868,337.15000082230216,1.0911092564786584,1.9699895489716408,7.517448911203688,0.052180200525190304,26.33190688250396,10971.355701023618,37.870392861065746,12.227125268636058,9.166425075857275,1.3022393877515357,0.4185837945037182,73.33006431118606,0.17866609532156222,1.7155241971967976,7.476540093062337,0.0211679608989671,0.40079506836525686,60.77574560833193,0.15988471433851853,0.37388781839151647,7.453181574856467,0.011379592834777704,2.1083481415729737,373.19034222018206,0.40729082231580466,2.2229051168910026,33.02082349078057,0.04644609481334101,0.25337316566204443,33.8033750346573,0.1385248633618859,0.21425257627053032,5.245794596366091,0.008352120058710784,0.27,33.8,0.16,0.23,6.29,0.01,78.79936226836166,91.22568536565954,84.021679155344,66.93143591099303,33.1880335404949,1.6304820522550794,608.4790394074391,18.136977710085713,26.0855132963839,10971.355701023618,37.870392861065746,12.227125268636058,548.8537457509514,52.53308627310322,2.1083481415729737,373.19034222018206,33.02082349078057
2025-01-08_1,11.27,1991.84,1.0523221252948596,361.9500021938821,1.2497011801099138,1.4913760959514064,7.886545783352807,0.05147501385765913,23.37629625824157,10832.957587407853,37.98057843708463,11.716221455128167,8.721497003544298,1.202285444885271,0.40902222162983437,60.21169472547251,0.1912440407034036,1.196731334432864,7.862485370259895,0.01831262820858344,0.39906662172700175,53.328784798158054,0.17683362637493383,0.42559633278208053,7.833620809057697,0.011799188079580632,1.9692830363926033,322.56279838102216,0.5094850951757047,2.987976792554193,33.9172571604043,0.04763508231598976,0.26983064348857905,31.16959655158237,0.1494548920925826,0.21470072486156888,5.686818477609998,0.008849730409647105,0.27,31.17,0.15,0.19,5.88,0.01,77.3021581090898,92.37702322871323,85.12545158701712,50.655626995556425,31.33284395971344,1.6202975296857358,665.9889087231008,21.189468257255488,15.047672226879813,10832.957587407853,37.98057843708463,11.716221455128167,533.4832145062984,54.22026905924701,1.9692830363926033,322.56279838102216,33.9172571604043
2025-01-08_2,12.0,2129.2,1.3946180820946166,595.7599985759565,1.8380424967760969,4.206751499601427,7.712275561561266,0.05472639770565875,20.928260052913497,11230.521183674755,37.2366252754881,9.939338840865254,8.109749693034733,0.6878709170748477,0.4988972481285102,108.09993129421062,0.2148301877180459,3.943882039734639,7.694049269656499,0.02569337161878485,0.43049481515174076,62.85456651563906,0.14938916592720858,0.3571339263296539,7.515376241329614,0.01101414324163451,1.8328934989550052,318.0004292420625,0.37803878955285247,1.795012727967148,31.59556836768838,0.03550584882743228,0.2484499175930487,29.73416860098169,0.11970823582473628,0.17048336670702846,4.389534667556738,0.007834883245245585,0.3,29.73,0.13,0.19,4.97,0.01,86.16653454764038,96.12446302693141,88.82446914904463,82.1927921972315,41.29505734457993,2.558647017071223,1219.3313051839875,34.76198969562409,73.62020966809754,11230.521183674755,37.2366252754881,9.939338840865254,611.5394247673871,43.85317799227101,1.8328934989550052,318.0004292420625,31.59556836768838
